Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
07.10 11:06:21:011,-162.86571,-5.21576,-2.82374,-71.89075,0.17829,-0.41007,82.24043,7.03861,0.50025,8.73454,-1.64456,1.91342,
07.10 11:06:21:061,-162.87857,-5.21436,-2.82417,-71.89200,0.18070,-0.40886,82.24043,7.03861,0.50025,8.74615,-1.64356,1.91505,
07.10 11:06:21:111,-162.92244,-5.21397,-2.82506,-71.89075,0.18102,-0.41140,82.24043,7.03861,0.50025,8.79127,-1.64362,1.91341,
07.10 11:06:21:160,-162.91347,-5.21481,-2.82552,-71.89137,0.18078,-0.41217,82.24043,7.03861,0.50025,8.78167,-1.64301,1.91311,
07.10 11:06:21:209,-162.91628,-5.21547,-2.82821,-71.89005,0.17862,-0.41170,82.24043,7.03861,0.50025,8.78580,-1.64452,1.91625,
07.10 11:06:21:255,-162.91685,-5.21504,-2.82863,-71.89350,0.18041,-0.41187,82.24043,7.03861,0.50025,8.78293,-1.64317,1.91651,
07.10 11:06:21:307,-162.91136,-5.21621,-2.83008,-71.89113,0.18001,-0.41293,82.24043,7.03861,0.50025,8.77981,-1.64240,1.91690,
07.10 11:06:21:356,-162.92474,-5.21544,-2.83134,-71.89342,0.18161,-0.41335,82.24043,7.03861,0.50025,8.79089,-1.64156,1.91774,
07.10 11:06:21:410,-162.93054,-5.21569,-2.83238,-71.89260,0.17688,-0.41399,82.24043,7.03861,0.50025,8.79752,-1.64604,1.91815,
07.10 11:06:21:459,-162.93411,-5.21642,-2.83185,-71.89426,0.17853,-0.41224,82.24043,7.03861,0.50025,8.79943,-1.64366,1.91936,
07.10 11:06:21:514,-162.93884,-5.21645,-2.83250,-71.89526,0.17818,-0.41348,82.24043,7.03861,0.50025,8.80316,-1.64398,1.91877,
07.10 11:06:21:566,-162.94518,-5.21377,-2.83345,-71.89414,0.17750,-0.41307,82.24043,7.03861,0.50025,8.81061,-1.64734,1.92013,
07.10 11:06:21:612,-162.97377,-5.21232,-2.83312,-71.89264,0.17738,-0.41481,82.24043,7.03861,0.50025,8.84071,-1.64892,1.91806,
07.10 11:06:21:662,-162.98500,-5.21277,-2.83204,-71.89537,0.17915,-0.41470,82.24043,7.03861,0.50025,8.84921,-1.64669,1.91708,
07.10 11:06:21:710,-162.97549,-5.21168,-2.82974,-71.89469,0.18369,-0.41245,82.24043,7.03861,0.50025,8.84038,-1.64324,1.91703,
07.10 11:06:21:759,-162.98552,-5.21305,-2.82716,-71.89542,0.18376,-0.41433,82.24043,7.03861,0.50025,8.84968,-1.64181,1.91258,
07.10 11:06:21:806,-162.98576,-5.21255,-2.82675,-71.89485,0.18445,-0.41093,82.24043,7.03861,0.50025,8.85049,-1.64162,1.91557,
07.10 11:06:21:856,-162.98151,-5.21283,-2.82701,-71.89546,0.18575,-0.41114,82.24043,7.03861,0.50025,8.84562,-1.64003,1.91562,
07.10 11:06:21:904,-162.96889,-5.21091,-2.82737,-71.89624,0.18677,-0.41174,82.24043,7.03861,0.50025,8.83222,-1.64093,1.91538,
07.10 11:06:21:959,-162.97342,-5.20919,-2.82583,-71.89647,0.18922,-0.40977,82.24043,7.03861,0.50025,8.83652,-1.64020,1.91581,
07.10 11:06:22:008,-162.96809,-5.20833,-2.82842,-71.89780,0.19176,-0.41009,82.24043,7.03861,0.50025,8.82987,-1.63852,1.91808,
07.10 11:06:22:058,-162.96881,-5.20925,-2.83013,-71.89604,0.19042,-0.40931,82.24043,7.03861,0.50025,8.83234,-1.63894,1.92057,
07.10 11:06:22:114,-162.96249,-5.20835,-2.83177,-71.89516,0.18875,-0.41135,82.24043,7.03861,0.50025,8.82691,-1.64151,1.92016,
07.10 11:06:22:160,-162.97853,-5.20933,-2.83053,-71.89674,0.19090,-0.41181,82.24043,7.03861,0.50025,8.84136,-1.63839,1.91847,
07.10 11:06:22:209,-162.95432,-5.21182,-2.83052,-71.89579,0.19115,-0.41172,82.24043,7.03861,0.50025,8.81810,-1.63565,1.91855,
07.10 11:06:22:260,-162.95586,-5.21299,-2.83238,-71.89582,0.19197,-0.41042,82.24043,7.03861,0.50025,8.81961,-1.63365,1.92171,
07.10 11:06:22:312,-162.98756,-5.21212,-2.83242,-71.88612,0.19040,-0.41648,82.24043,7.03861,0.50025,8.86102,-1.63609,1.91570,
07.10 11:06:22:355,-163.01707,-5.21061,-2.83202,-71.88636,0.19236,-0.41472,82.24043,7.03861,0.50025,8.89029,-1.63564,1.91705,
07.10 11:06:22:407,-162.99583,-5.20809,-2.83152,-71.88726,0.19650,-0.41477,82.24043,7.03861,0.50025,8.86815,-1.63402,1.91650,
07.10 11:06:22:455,-163.04300,-5.20787,-2.83165,-71.88790,0.19439,-0.41414,82.24043,7.03861,0.50025,8.91467,-1.63635,1.91726,
07.10 11:06:22:509,-163.08008,-5.20810,-2.82976,-71.88980,0.19460,-0.41390,82.24043,7.03861,0.50025,8.94985,-1.63591,1.91561,
07.10 11:06:22:558,-163.07668,-5.20764,-2.82835,-71.89069,0.19798,-0.41150,82.24043,7.03861,0.50025,8.94556,-1.63300,1.91660,
07.10 11:06:22:608,-163.08087,-5.20825,-2.82890,-71.88975,0.19659,-0.41144,82.24043,7.03861,0.50025,8.95070,-1.63377,1.91721,
07.10 11:06:22:659,-163.04706,-5.20867,-2.82855,-71.89066,0.19421,-0.41268,82.24043,7.03861,0.50025,8.91597,-1.63573,1.91561,
07.10 11:06:22:708,-163.05981,-5.20692,-2.82716,-71.89224,0.19571,-0.41275,82.24043,7.03861,0.50025,8.92715,-1.63599,1.91416,
07.10 11:06:22:759,-163.07585,-5.20665,-2.82670,-71.89311,0.19671,-0.41298,82.24043,7.03861,0.50025,8.94231,-1.63525,1.91347,
07.10 11:06:22:809,-163.05347,-5.20678,-2.82609,-71.89327,0.20076,-0.41020,82.24043,7.03861,0.50025,8.91977,-1.63108,1.91564,
07.10 11:06:22:856,-163.07147,-5.20701,-2.82705,-71.89103,0.20276,-0.40858,82.24043,7.03861,0.50025,8.94002,-1.62884,1.91823,
07.10 11:06:22:907,-163.07393,-5.20764,-2.82705,-71.89209,0.20391,-0.40951,82.24043,7.03861,0.50025,8.94141,-1.62706,1.91728,
07.10 11:06:22:956,-163.08539,-5.20841,-2.82766,-71.89046,0.20235,-0.40850,82.24043,7.03861,0.50025,8.95451,-1.62785,1.91892,
07.10 11:06:23:009,-163.08435,-5.20667,-2.82703,-71.89108,0.20147,-0.40759,82.24043,7.03861,0.50025,8.95284,-1.63048,1.91919,
07.10 11:06:23:058,-163.07907,-5.20725,-2.82618,-71.89415,0.20200,-0.40803,82.24043,7.03861,0.50025,8.94450,-1.62936,1.91790,
07.10 11:06:23:109,-163.09586,-5.20726,-2.82866,-71.89260,0.20068,-0.40778,82.24043,7.03861,0.50025,8.96283,-1.63067,1.92063,
07.10 11:06:23:160,-163.06212,-5.20782,-2.82793,-71.89272,0.20328,-0.40675,82.24043,7.03861,0.50025,8.92897,-1.62751,1.92093,
07.10 11:06:23:209,-163.03960,-5.20713,-2.82960,-71.89285,0.20703,-0.40363,82.24043,7.03861,0.50025,8.90632,-1.62446,1.92572,
07.10 11:06:23:261,-163.06769,-5.20629,-2.83215,-71.89503,0.20792,-0.40499,82.24043,7.03861,0.50025,8.93224,-1.62441,1.92690,
07.10 11:06:23:311,-163.06836,-5.20640,-2.83167,-71.89540,0.20857,-0.40313,82.24043,7.03861,0.50025,8.93253,-1.62364,1.92828,
07.10 11:06:23:365,-163.06422,-5.20728,-2.82976,-71.89428,0.20573,-0.40205,82.24043,7.03861,0.50025,8.92952,-1.62560,1.92746,
07.10 11:06:23:418,-163.06113,-5.20589,-2.83152,-71.89519,0.21103,-0.40096,82.24043,7.03861,0.50025,8.92551,-1.62169,1.93030,
07.10 11:06:23:464,-163.09558,-5.20787,-2.82956,-71.89395,0.21246,-0.40071,82.24043,7.03861,0.50025,8.96120,-1.61828,1.92860,
07.10 11:06:23:505,-163.10463,-5.20842,-2.83057,-71.89433,0.21416,-0.39930,82.24043,7.03861,0.50025,8.96988,-1.61603,1.93101,
07.10 11:06:23:559,-163.10785,-5.20688,-2.83062,-71.89268,0.20930,-0.40000,82.24043,7.03861,0.50025,8.97475,-1.62243,1.93036,
07.10 11:06:23:609,-163.12042,-5.20537,-2.82998,-71.89295,0.20865,-0.39996,82.24043,7.03861,0.50025,8.98705,-1.62459,1.92977,
07.10 11:06:23:658,-163.12473,-5.20522,-2.83221,-71.89188,0.20746,-0.39962,82.24043,7.03861,0.50025,8.99242,-1.62593,1.93234,
07.10 11:06:23:709,-163.12523,-5.20564,-2.83304,-71.89220,0.20779,-0.40050,82.24043,7.03861,0.50025,8.99261,-1.62518,1.93228,
07.10 11:06:23:759,-163.17134,-5.20486,-2.83421,-71.89404,0.21347,-0.39948,82.24043,7.03861,0.50025,9.03688,-1.62028,1.93449,
07.10 11:06:23:810,-163.15266,-5.20274,-2.83531,-71.89341,0.21641,-0.39970,82.24043,7.03861,0.50025,9.01883,-1.61947,1.93535,
07.10 11:06:23:862,-163.18365,-5.20415,-2.83701,-71.89141,0.21669,-0.39775,82.24043,7.03861,0.50025,9.05182,-1.61777,1.93900,
07.10 11:06:23:909,-163.19609,-5.20269,-2.83618,-71.89019,0.21833,-0.39790,82.24043,7.03861,0.50025,9.06548,-1.61759,1.93803,
07.10 11:06:23:956,-163.20326,-5.20417,-2.83702,-71.89064,0.21523,-0.39786,82.24043,7.03861,0.50025,9.07220,-1.61921,1.93890,
07.10 11:06:24:005,-163.21049,-5.20211,-2.83625,-71.89069,0.21621,-0.39739,82.24043,7.03861,0.50025,9.07938,-1.62030,1.93861,
07.10 11:06:24:058,-163.20747,-5.20338,-2.83801,-71.89009,0.21588,-0.39737,82.24043,7.03861,0.50025,9.07696,-1.61936,1.94038,
07.10 11:06:24:108,-163.21806,-5.20435,-2.83814,-71.88911,0.21767,-0.39547,82.24043,7.03861,0.50025,9.08852,-1.61659,1.94241,
07.10 11:06:24:159,-163.22961,-5.20260,-2.83650,-71.89006,0.21649,-0.39588,82.24043,7.03861,0.50025,9.09913,-1.61952,1.94036,
07.10 11:06:24:210,-163.26019,-5.20002,-2.83753,-71.89117,0.21970,-0.39499,82.24043,7.03861,0.50025,9.12860,-1.61889,1.94229,
07.10 11:06:24:258,-163.27699,-5.20029,-2.83906,-71.89108,0.21846,-0.39354,82.24043,7.03861,0.50025,9.14548,-1.61986,1.94527,
07.10 11:06:24:309,-163.28937,-5.20198,-2.83979,-71.89004,0.20532,-0.41698,82.24043,7.03861,0.50025,9.15891,-1.63131,1.92256,
07.10 11:06:24:358,-163.28958,-5.20157,-2.83980,-71.89073,0.20823,-0.41748,82.24043,7.03861,0.50025,9.15842,-1.62881,1.92206,
07.10 11:06:24:414,-163.26102,-5.20079,-2.83795,-71.89155,0.20782,-0.41761,82.24043,7.03861,0.50025,9.12904,-1.63000,1.92009,
