Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,
06.17 10:59:33,83168,0.53151,0.12450,9.87369,-0.00852,-0.00213,0.00639,3.43933,4.03748,28.56140,-0.09334,120.69398,-2.26485,0.49467,0.01677,-0.01049,0.86884,
06.17 10:59:33,83169,0.52194,0.11492,9.87848,-0.00639,0.00107,0.00533,2.99072,4.48608,29.90723,-0.09389,120.74002,-2.26486,0.49432,0.01677,-0.01048,0.86904,
06.17 10:59:33,83170,0.52672,0.11492,9.86890,-0.00746,-0.00213,0.00426,2.99072,4.48608,29.90723,-0.09331,120.78568,-2.26507,0.49397,0.01678,-0.01047,0.86923,
06.17 10:59:33,83171,0.53151,0.12450,9.86411,-0.00746,-0.00320,0.00639,2.69165,5.68237,29.90723,-0.09341,120.84419,-2.26576,0.49353,0.01679,-0.01047,0.86949,
06.17 10:59:33,83172,0.53151,0.13886,9.86890,-0.00852,0.00000,0.00533,2.54211,3.14026,27.96326,-0.09427,120.88551,-2.26562,0.49321,0.01679,-0.01047,0.86967,
06.17 10:59:33,83173,0.51715,0.13886,9.87848,-0.00746,0.00107,0.00533,2.54211,3.14026,27.96326,-0.09448,120.92688,-2.26459,0.49290,0.01679,-0.01046,0.86985,
06.17 10:59:33,83174,0.50757,0.13408,9.87848,-0.01065,-0.00107,0.00426,3.14026,2.24304,29.15955,-0.09552,120.93446,-2.26439,0.49284,0.01678,-0.01047,0.86988,
06.17 10:59:33,83175,0.50278,0.13408,9.88326,-0.01172,0.00000,0.00533,3.14026,4.93469,29.45862,-0.09772,120.98032,-2.26417,0.49249,0.01677,-0.01047,0.87008,
06.17 10:59:33,83176,0.50278,0.12929,9.88326,-0.00746,-0.00107,0.00426,1.64490,4.03748,28.56140,-0.09870,121.05165,-2.26335,0.49195,0.01677,-0.01047,0.87039,
06.17 10:59:33,83177,0.50757,0.12450,9.86890,-0.00639,-0.00320,0.00639,2.69165,4.48608,29.60815,-0.09875,121.10329,-2.26407,0.49156,0.01678,-0.01046,0.87061,
06.17 10:59:33,83178,0.51236,0.12929,9.86890,-0.00959,-0.00320,0.00533,2.69165,4.48608,29.60815,-0.09956,121.15514,-2.26602,0.49116,0.01680,-0.01047,0.87084,
06.17 10:59:33,83179,0.50278,0.12929,9.88326,-0.00852,-0.00107,0.00533,2.54211,4.63562,28.56140,-0.10075,121.21030,-2.26591,0.49075,0.01680,-0.01047,0.87108,
06.17 10:59:33,83180,0.51236,0.12450,9.86890,-0.00959,-0.00213,0.00639,2.54211,5.83191,29.75769,-0.10205,121.27165,-2.26626,0.49028,0.01680,-0.01047,0.87134,
06.17 10:59:33,83181,0.52672,0.12450,9.88326,-0.00746,-0.00107,0.00639,1.94397,4.03748,28.26233,-0.10344,121.33680,-2.26590,0.48978,0.01680,-0.01047,0.87161,
06.17 10:59:33,83182,0.53630,0.11492,9.86890,-0.01065,-0.00107,0.00639,2.69165,5.68237,28.71094,-0.10477,121.39537,-2.26615,0.48934,0.01680,-0.01048,0.87186,
06.17 10:59:33,83183,0.54109,0.12450,9.86890,-0.00852,-0.00107,0.00533,2.69165,4.48608,28.41187,-0.10648,121.44719,-2.26605,0.48895,0.01679,-0.01048,0.87208,
