Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
06.29 16:44:29:759,81.01036,-1.64611,2.75609,146.16582,-1.10485,3.40414,64.85825,1.28606,0.44938,0.29720,-0.74481,0.19867,
06.29 16:44:29:793,80.44298,-1.65447,2.74244,145.58606,-1.11318,3.38710,64.85825,1.28606,0.44938,0.28483,-0.74477,0.19528,
06.29 16:44:29:827,79.79121,-1.72687,2.71754,144.73297,-1.22423,3.35634,64.85825,1.28606,0.44938,0.08350,-0.78343,0.18943,
06.29 16:44:29:860,78.87476,-1.89540,2.72434,143.99265,-1.35806,3.36919,64.85825,1.28606,0.44938,0.25963,-0.74872,0.19547,
06.29 16:44:29:893,78.30747,-1.99758,2.72490,143.14961,-1.49228,3.36210,64.85825,1.28606,0.44938,-0.01611,-0.78076,0.18782,
06.29 16:44:29:928,77.08072,-2.13686,2.71127,141.87694,-1.58438,3.34591,64.85825,1.28606,0.44938,-0.06203,-0.73359,0.18526,
06.29 16:44:29:961,76.08117,-2.17149,2.70955,140.83801,-1.60622,3.34296,64.85825,1.28606,0.44938,-0.10141,-0.72079,0.18403,
06.29 16:44:29:991,74.62010,-2.21713,2.72381,139.73523,-1.62630,3.35479,64.85825,1.28606,0.44938,0.25687,-0.69523,0.18161,
06.29 16:44:30:024,73.50936,-2.23644,2.75335,138.23372,-1.62123,3.39670,64.85825,1.28606,0.44938,-0.13390,-0.67086,0.19397,
06.29 16:44:30:061,71.96012,-2.20831,2.81054,137.07309,-1.57862,3.43372,64.85825,1.28606,0.44938,0.25471,-0.65637,0.17381,
06.29 16:44:30:096,70.75128,-2.17132,2.83699,135.42319,-1.49972,3.45849,64.85825,1.28606,0.44938,-0.18635,-0.61447,0.17212,
06.29 16:44:30:145,68.97804,-2.07230,2.85505,134.08180,-1.40416,3.46160,64.85825,1.28606,0.44938,0.24551,-0.61793,0.15717,
06.29 16:44:30:174,66.62560,-1.95137,2.83668,131.67570,-1.25513,3.42960,64.85825,1.28606,0.44938,0.19186,-0.58982,0.14354,
06.29 16:44:30:212,65.11787,-1.96149,2.82786,130.15434,-1.26231,3.41859,64.85825,1.28606,0.44938,0.17822,-0.58689,0.14136,
06.29 16:44:30:246,63.55523,-2.03212,2.81349,128.03821,-1.35024,3.39020,64.85825,1.28606,0.44938,-0.37528,-0.60419,0.12733,
06.29 16:44:30:293,61.36316,-2.18456,2.78803,126.39374,-1.45698,3.36898,64.85825,1.28606,0.44938,0.17233,-0.55848,0.13157,
06.29 16:44:30:329,59.09871,-2.34568,2.74114,123.56033,-1.61195,3.30421,64.85825,1.28606,0.44938,-0.39664,-0.55234,0.11369,
06.29 16:44:30:357,56.73361,-2.42505,2.72231,121.78561,-1.63226,3.29545,64.85825,1.28606,0.44938,0.19375,-0.49327,0.12376,
06.29 16:44:30:394,54.94098,-2.42252,2.71148,119.97614,-1.60342,3.27997,64.85825,1.28606,0.44938,0.17690,-0.46696,0.11911,
06.29 16:44:30:428,52.47892,-2.37176,2.67792,117.53416,-1.51986,3.24503,64.85825,1.28606,0.44938,0.19698,-0.43417,0.11773,
06.29 16:44:30:461,50.63564,-2.34392,2.66470,115.67673,-1.47248,3.22979,64.85825,1.28606,0.44938,0.18284,-0.41462,0.11572,
06.29 16:44:30:512,48.77205,-2.33176,2.64925,113.79749,-1.43899,3.21470,64.85825,1.28606,0.44938,0.16718,-0.39329,0.11608,
06.29 16:44:30:557,45.50092,-2.39709,2.61297,109.92718,-1.48863,3.17389,64.85825,1.28606,0.44938,-0.43199,-0.37761,0.11154,
06.29 16:44:30:594,42.29057,-2.48511,2.52969,106.64320,-1.54570,3.07827,64.85825,1.28606,0.44938,-0.50562,-0.34666,0.09920,
06.29 16:44:30:627,39.63725,-2.59079,2.43172,104.66962,-1.61447,3.01215,64.85825,1.28606,0.44938,0.17412,-0.30975,0.13105,
06.29 16:44:30:657,37.70272,-2.67913,2.34431,102.72400,-1.68286,2.92775,64.85825,1.28606,0.44938,0.16302,-0.28979,0.13406,
06.29 16:44:30:693,35.80983,-2.76672,2.20559,100.82365,-1.75361,2.79030,64.85825,1.28606,0.44938,0.15556,-0.27295,0.13533,
06.29 16:44:30:726,33.98016,-2.81964,2.02814,98.39037,-1.78652,2.56422,64.85825,1.28606,0.44938,-0.44804,-0.25294,0.08670,
06.29 16:44:30:757,31.57727,-2.83931,1.83860,96.61531,-1.77478,2.44050,64.85825,1.28606,0.44938,0.17979,-0.22153,0.15252,
06.29 16:44:30:810,29.79937,-2.79947,1.74092,94.23224,-1.67807,2.31648,64.85825,1.28606,0.44938,-0.42538,-0.16466,0.12618,
06.29 16:44:30:843,26.75160,-2.55649,1.61946,91.83374,-1.42932,2.24804,64.85825,1.28606,0.44938,0.22388,-0.15889,0.17920,
06.29 16:44:30:876,24.94341,-2.35525,1.63123,89.41398,-1.12758,2.28096,64.85825,1.28606,0.44938,-0.38769,-0.05840,0.20035,
06.29 16:44:30:910,23.17524,-2.16782,1.64897,87.66477,-0.94418,2.29552,64.85825,1.28606,0.44938,-0.36872,-0.06242,0.19717,
06.29 16:44:30:943,20.85507,-2.00130,1.65021,85.93718,-0.81705,2.29530,64.85825,1.28606,0.44938,0.22385,-0.10181,0.19571,
06.29 16:44:30:977,19.15465,-1.90620,1.61844,83.65801,-0.68413,2.26510,64.85825,1.28606,0.44938,-0.35490,-0.06399,0.19727,
06.29 16:44:31:011,16.90174,-1.83170,1.59991,81.99609,-0.61212,2.27336,64.85825,1.28606,0.44938,0.23611,-0.06648,0.22408,
06.29 16:44:31:040,15.33386,-1.78912,1.64079,80.42513,-0.55855,2.33185,64.85825,1.28606,0.44938,0.23302,-0.05550,0.24169,
06.29 16:44:31:077,13.79586,-1.82945,1.66786,78.36867,-0.59788,2.36147,64.85825,1.28606,0.44938,-0.28545,-0.05450,0.24423,
06.29 16:44:31:113,11.77171,-1.79595,1.64360,76.87421,-0.53221,2.35447,64.85825,1.28606,0.44938,0.24425,-0.02232,0.26149,
06.29 16:44:31:146,10.33482,-1.69142,1.63191,74.95740,-0.37015,2.35355,64.85825,1.28606,0.44938,-0.23567,0.03521,0.27226,
